time	length
17.5952	1.3808
17.7631	2.4096
17.9288	4.1739
18.0944	5.9046
18.2616	7.9512
18.4278	9.9958
18.5955	12.4574
18.7623	14.8243
18.9290	18.1170
19.0948	21.3066
19.2620	24.9874
19.4280	28.1286
19.5946	32.1194
19.7616	36.0621
19.9302	40.2221
20.0951	44.6782
