time	length
16.9290	35.1583
17.0951	37.5706
17.2614	40.3460
17.4281	43.2087
17.5952	45.7418
17.7631	48.0957
17.9288	50.8441
18.0944	53.7291
18.2616	56.6857
18.4278	60.6107
18.5955	62.7530
18.7623	65.9584
18.9290	68.8945
19.0948	72.2745
19.2620	75.2784
19.4280	79.3761
19.5946	83.1349
19.7616	87.3515
19.9302	92.3312
20.0951	96.5570
20.2617	101.3743
20.4287	105.9566
20.5945	111.1555
