time	length
16.9290	2.2527
17.0951	2.9296
17.2614	3.7365
17.4281	4.5323
17.5952	5.2519
17.7631	6.7292
17.9288	7.6327
18.0944	8.3143
18.2616	9.3589
18.4278	10.4035
18.5955	11.0423
