time	length
20.5945	0.5850
20.7610	1.0019
20.9284	1.4838
21.0945	2.5015
21.2613	3.3242
21.4287	5.9400
21.5942	8.5492
21.7606	18.1320
21.9287	21.7681
22.0947	24.7589
